review_id,app_id,app_name,project_category,username,review_text,rating,thumbs_up,review_date,app_version_reviewed,app_reply,reply_date
82e7cab8-cfac-43a0-86a3-e06e524d90b1,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,hamed sagheer,it's not free trial,1,0,2026-02-24 20:16:13,3.0.28,,
c0a36afa-a13b-4c8a-8027-a4507e662a84,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Meww Meww,its not free look like a free but not a free,3,0,2026-02-24 17:09:26,3.0.28,,
2943b8eb-8893-43c7-9d6b-ef9bbef124f5,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,bhajan Lal,best app hai,5,0,2026-02-24 15:21:23,3.0.28,,
72bab900-49c4-4ccf-8d54-72b130939bb4,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Keith Holt,see who she chats with more,5,0,2026-02-24 03:09:04,3.0.28,,
2148a4e9-4d95-4eb6-825f-5050cc8181c1,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Victor Oluebube,very good 😊,5,0,2026-02-23 21:55:15,3.0.28,,
377fef27-3d3c-48bf-a9ea-06e5c6b6ad08,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Joachim Ozoigbo,This is a very nice app. It gives you what you want at any point in time....,5,0,2026-02-23 01:41:13,3.0.23,,
4e4f96fc-68d8-4663-a872-547c6fca20d9,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Fadzai Makoni,exceptionally good app,3,0,2026-02-22 22:46:37,3.0.28,,
7824f2ea-1efd-4df0-9327-d69d495bdad7,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Victor Omagbon,The best app in the world 🌎🌍,5,0,2026-02-22 22:29:33,,,
436e93b8-144d-4cfe-a88d-92faddf53d79,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,E. I. Ejike Umunnabuike Jr,"I am very impressed by the quality of professionalism exhibited by the team. Keep it up. I will rate the app high, up to 95%.",5,0,2026-02-22 19:52:21,3.0.28,,
bc773084-3bdd-4cc0-998d-68f699e00775,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Steven Gardner,"how this app is 4.5 is ridiculous, because this Ai app couldn't even write it's own positive reviews it's that bad",1,0,2026-02-22 18:12:49,3.0.28,,
46f1f858-8d1b-4645-a8de-3555802e8540,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Mugisha Nehemiah Ishimwe,incredible,5,0,2026-02-22 14:31:25,3.0.28,,
0ae6a0ec-6782-43a9-98dd-07edb31c53a9,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Ahmad Syirazi,bodoh sekali dia tak tahu perjelasan saya.saya nampak sangat bodoh dalam bagi perjelasan dan jawapan,1,0,2026-02-22 12:41:09,,,
e06187ee-3ec2-421c-a119-c0d3a9825a6c,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Job Kusi,smart and a reliable app,5,0,2026-02-22 09:42:40,3.0.17,,
c7894f3a-7d3b-4c90-9f6d-a89c410f3f59,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Tozell Jones,not intuitive. couldn't follow direction,1,0,2026-02-22 04:19:07,3.0.28,,
ba416310-5e3f-45d6-b9e4-bb442146a864,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Auwal Tahmarh,am happy and grateful,5,0,2026-02-21 20:33:37,3.0.28,,
d27d2a5e-50ac-4495-8e26-0c6c2830942e,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Muhammad Abdullahi,very useless app,1,0,2026-02-21 18:50:26,3.0.28,,
7a1acac8-1019-442c-a8d8-86d2bebbf4b5,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Reine “ACID” Dedeurwaerder-Sulmon,"If you don't pay, you have NO access",1,0,2026-02-21 16:18:29,,,
f637ce10-3d30-4aca-9ce6-adbf98a1df5c,com.codespaceapps.aichat,Chatbot AI - Search Assistant,Generative Text,Christin Timbal,LOVE IT!!!,5,0,2026-02-21 12:51:00,3.0.28,,
